created_at,user,tweet
2023-01-15 12:23:41,worldnews_guru,"Ukraine, allies clash over Poland missile in boost for Putin's war https://t.co/7UNSiMRJij #politics"
2023-01-15 12:23:41,worldnews_guru,Electric car drivers must pay tax from 2025 https://t.co/1mPK0jFrp0 #politics
2023-01-15 12:23:33,REALInfoWars1,CNN and WaPo COVID expert claims number of pandemic deaths has been OVERCOUNTED https://t.co/ZUoDOMNfC9 #america #news #trump #infowars #freespeech #politics
2023-01-15 12:23:14,mr_huswolf,"Can someone please ask this dickhead to sit down and shut up, as he is going to destroy what is left of the support for the Labour Party?! #Politics #KeirShitstearer  https://t.co/TCr0qjSfV0"
2023-01-15 12:20:14,viralnews_osint,Live music and more  #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 https://t.co/jo9cS9A29e
2023-01-15 12:20:14,viralnews_osint,"Today’s famous birthdays list for January 15, 2023 includes celebrities Dove Cameron, Pitbull #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 https://t.co/FnDX5bNfXW"
2023-01-15 12:18:42,RDijkot,French environmental racism on full display in Martinique and Guadeloupe #politics #news #headlines #latestnews #breakingnews https://t.co/r8h6n26urh
2023-01-15 12:17:37,yumrezacom,retweetnews2019: Do You Have News to Share? Get It Published. https://t.co/19Ehp9wQwW #Politics
2023-01-15 12:17:37,yumrezacom,retweetnews2019: Laura Kuenssberg left shocked as Keir Starmer admits 'I never wanted to be Prime Minister' https://t.co/MD8rLYOuE5 #Politics
2023-01-15 12:17:36,yumrezacom,retweetnews2019: Prime Minister and Home Minister to go to Pokhara to inspect crash site https://t.co/ArT6Y9Qb9V #Politics
2023-01-15 12:17:36,yumrezacom,retweetnews2019: Prime minister to lessen control over universities after EU pressure https://t.co/JJY7tjvidh #Politics
2023-01-15 12:17:35,yumrezacom,retweetnews2019: (Video) Iran’s Democratic Revolution: ISJ Book Launch at Brussels Press Club https://t.co/YkMPsa91mF #Politics
2023-01-15 12:17:35,yumrezacom,retweetnews2019: More classified documents found at Biden's home: White House https://t.co/cPxjkVl7v5 #Politics
2023-01-15 12:17:34,yumrezacom,"retweetnews2019: China is taking lessons from Russia's invasion of Ukraine, Taiwan's foreign minister says https://t.co/UTigXK6CYS #Politics"
2023-01-15 12:17:34,yumrezacom,retweetnews2019: Egyptian-Chinese talks in Cairo on Sunday at level of foreign ministers https://t.co/TRcHypWVz6 #Politics
2023-01-15 12:17:33,yumrezacom,"retweetnews2019: Several more pages of classified documents found at Biden's residences, White House says https://t.co/IGKj9BDAxt #Politics"
2023-01-15 12:17:33,yumrezacom,retweetnews2019: More classified documents found at US President Joe Biden's residences: White House https://t.co/852pJkS6GA #Politics
2023-01-15 12:17:03,politic_talks,Karine Jean-Pierre said search for documents was 'completed' before WH announced more classified docs found https://t.co/sd8nN0D3Vu  - @politic_talks #Politics #Political
2023-01-15 12:15:11,Ridgewoodblog,"Home Explodes in #PomptonLakes Trapping 6 firefighters Inside
https://t.co/jVrmM49eke
#news #follow #media #breakingnews #trending #viral #politics #info #currentaffairs #newspaper"
2023-01-15 12:14:50,GregSimons12,"Coming publication, second book for 2023. On #warfare in the 21st century, #politics #Information and #communication of it. need to rethink the current trajectory @PiersRobinson1 @yasmeen_9 @adacta5 @Freya77972235 @TLGreports @Glenn_Diesen @WoodReporting 

https://t.co/28Qje6fhpt"
2023-01-15 12:14:40,REALInfoWars1,Report: Hunter Biden Asks Court to Deny Estranged 4-Year-Old Daughter Taking His Surname https://t.co/cPx4qEVMxY #america #news #trump #infowars #freespeech #politics
2023-01-15 12:09:35,PMPmagToday,"Don’t miss today’s PMP Weekend ☕️ 
Your morning #newsletter that covers the latest in #politics, #COVID19, the morning #FrontPages, and our must-read articles... all this in less than 5 minutes.

#PMPmorning ☕️ #PMPweekend 
https://t.co/w4JEGdsKzq"
2023-01-15 12:09:09,REALInfoWars1,"Whistleblower: Migrants Living for Free in NYC Hotels are Fighting Staff, Drinking All Day, Having Sex in Public https://t.co/5KGi7ZmLZG #america #news #trump #infowars #freespeech #politics"
2023-01-15 12:05:59,ChienjoVictor,@ItsKimingichi_ Looks like Sabatia MP is taking the phrase 'speak ill of the dead' to a whole new level by spilling tea at the funeral #drama #politics
2023-01-15 12:05:49,viralnews_osint,Reliable Riley: Patterson delivers the biggest clutch kick in Jaguars history to beat Chargers #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 https://t.co/HPkrXK4zGF
2023-01-15 12:05:49,viralnews_osint,2023 NFL playoffs: Chargers' Asante Samuel Jr. intercepts Trevor Lawrence three times in historic first half  #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp… https://t.co/G8WxbGov2t
2023-01-15 12:04:57,hempnewsonline,#Kentucky Lawmakers https://t.co/2tM1oBTRg2 #cancer #democratic #early #essential #gop #health #justice #law #laws #legal #legalization #legislation #lifestyle #marijuana #medicalcannabis #medicalmarijuana #news #politics #race #regulation
2023-01-15 12:03:52,REALInfoWars1,Kentucky Dem Suggests Biden Be Impeached for War Crimes in Ukraine https://t.co/USwiPgJ4ff #america #news #trump #infowars #freespeech #politics
2023-01-15 12:02:58,RoyalPeter2nd,"It is with growing Concern that the OLD #GCHQ at #Somerset is manned by Celebrity Mi5 Satellite Stalkers involved with TheFirm illuminati.

They would have Children too.

#Terror #Police #Military #Elint #Politics #NewScotlandYard 
#ArmeeDeTerre
#Politie
#Polizei 
#Policia https://t.co/bTNHp4kMNU"
2023-01-15 12:00:44,FVMagNYC,"🎥Must Watch #parody! Part 1 🎬
Our platform is certainly not about politics but good costumes and fun acting, why not! — part 2 &amp; 3 coming soon 
Elon you must watch it @elonmusk 😂 #politics #conspiracytheory #movie #ww3 https://t.co/0t7oelmPz5"
2023-01-15 12:00:30,Outlookindia,"#OutlookMagazine | A bhakta or a bhaktin is, in fact, a person of nerve, of spine, of #spirit. A passionate, robust, wise being who has discovered the power and potential of the path of the heart.

✍️Arundhathi Subramaniam

#politics #poems 

Read more at:
https://t.co/oi1yilpiSH"
2023-01-15 11:55:10,Ridgewoodblog,"#Tesla reduces prices for its car models sold in the US and Europe
https://t.co/daeucyn892
#news #follow #media #breakingnews #trending #viral #politics #info #currentaffairs #newspaper"
2023-01-15 11:52:41,REALInfoWars1,Will Aseem Malhotra’s Appearance Be the BBC’s Most Viewed Programme of 2023? https://t.co/bOElYlXX4f #america #news #trump #infowars #freespeech #politics
2023-01-15 11:49:31,Renegadevandy49,"I also imagine how pained past governors in Lagos would feel, that their hard work and legacy is being given to Tinubu. Like you reading the praises and are like... my sweat, headache and creative governance😂🤣🤣

#Lagos #Politics #Peterobi #tinubu #atiku #election2023"
2023-01-15 11:49:14,Lornafitz3,"Busy weekend kicked off with a marathon meeting of the @LabourWexford constituency on Friday night. 

Followed by an energetic day with @issu4u where I delivered a session on public speaking and participated on an activism panel.

#Activism #Politics #FutureIsBright https://t.co/s0Sek3p6uP"
2023-01-15 11:46:35,hindusprasad,@knight_17_ Why @SGanguly99 @BCCI giving chance to fake cricketer like @klrahul !!! What #politics involved in this ??
2023-01-15 11:46:27,MEFoggyDog,"*Foggy* Uh oh....my P.A has got her knickers in a twist about something.

Topic - Exclusion of M.E from Long Covid narrative.

https://t.co/fnr6D4Py5g…

#pwME #Politics #Health #MEcfs"
2023-01-15 11:45:34,EndBlasphemylws,What is the West waiting for ? 👇#Politics https://t.co/3HHgf4o0sB
2023-01-15 11:45:07,eBookConnection,"*Mwanandeke Kindembo #author of
""Destiny of Liberty"" #politics #government
""Treatise Upon The Misconceptions of Narcissism""
""Sinless"" #selfhelp #religion
""Resistance To Intolerance"" #spirituality
https://t.co/TgI9HGKOrs
@MwanandekeK
#iartg #ian1 https://t.co/pghNO8lOlN"
2023-01-15 11:42:28,REALInfoWars1,Germany orders Holocaust survivor institutionalized over Covid-19 shot https://t.co/UVgcCr2W8w #america #news #trump #infowars #freespeech #politics
2023-01-15 11:41:32,Lodge20201,"@ericswalwell @RepSwalwell is complaining that he is getting a lot of threats.  I would suggest that if he continues to put people down, be hateful, call people names, and karma bites back. A man reaps what he sows.
#news #USA #business #HateSpeech #congress #woke #politics #ethics #California"
2023-01-15 11:41:00,chrisoldcorn,"CTF: Carbon tax costing households up to $847, even after rebates - #news #canada #ctf #taxpayers #taxes #Sask #cdnpolitics #climatechange #saskatchewan #sk #manitoba #mb #alberta #ab #politics #cdnpoli #ecowarriors #environment #carbontax https://t.co/jlBcwRXYKx"
2023-01-15 11:40:50,bencesz_,"#Erasmus #Hungary #Politics #History #Europe #Long #Post #Discussion 
Hungary once again managed to crown the past 400 years of Hungarian politics. 
Starting with the incompetent nobleties of the 17th century, who could’ve united multiple times to overthrow the Habsburgs - whom"
2023-01-15 11:40:39,PiN_Politics,"#PiN Debaters - January 14, 2023

#Politics #PoliticalDebate #Odisha https://t.co/iVEDYi8Tk4"
2023-01-15 11:40:30,BOLNewsEnglish,"Sri Lankan economy to contract further this year after shrinking an estimated 8.7 per cent in 2022. To read more, log on to our website: https://t.co/ElUG3FCkwA
@SriLanka @CeylonToday
#EconomyMonetary #debt
#inflation #politics"
